Verse Text (Ata Manobo),Verse Text (English)
Di malasi og-awo si Hisus no sagboka rin do no oghondio to awayan no nigmariu to mgo lunsud no nig-ampu dio to Amoy rin no Magboboot dio to Langit.,But Jesus often withdrew to lonely places and prayed.
"Songo allow to nig-anad si Hisus to mgo otow, duon dod ka mgo Parisiu woy ka mgo talag-anad to Balaod. Nigpuun sikandan dio to agad hondoi no lunsud dut Probinsia to Galilia woy ka Probinsia to Hudia woy ka lunsud to Hirusalim, no dio naminpinnuu ka tibo. No si Hisus, nigbogayan on to Magboboot to kabogbogan su oyow ogpakabawi to mgo otow no nigdaralu.","One day Jesus was teaching, and Pharisees and teachers of the law were sitting there. They had come from every village of Galilee and from Judea and Jerusalem. And the power of the Lord was present for him to heal the sick."
"Nò, duon nokouma no lukos no niglolongan to mgo duma rin. Ka sikan no otow, nokohibat do duon to hibatanan din su kono oggoram ka lawa rin. Nò, igpamangho to mgo otow ko hondoi ran igpabayo su ogpasoloron dan poron ka otow no piglolongan dan su dio dan poron ipohibat to tangkaan ni Hisus.",Some men came carrying a paralyzed man on a mat and tried to take him into the house to lay him before Jesus.
"Dokad di ko waro dan kitaa ka ogbayaan dan tongod to mohon-ing no nalibulung no mgo otow, sikan ian no namanoik sikandan to kalatkat dio to atop to baloy Nò, nigloko dan ka pila ro no tisa to atop no nigtuntun dan on ka otow no nighibat dut hibatanan din no dio do makasabuk to sika lukos to taliwaro to mgo otow no duon to tangkaan ni Hisus.","When they could not find a way to do this because of the crowd, they went up on the roof and lowered him on his mat through the tiles into the middle of the crowd, right in front of Jesus."
"Pogsabut ni Hisus to dakol ka pogtuu ran kandin, kagi rin to sikan no lukos no kono oggoram to lawa rin to, “Usi, napasaylu on ka salo nu.”","When Jesus saw their faith, he said, “Friend, your sins are forgiven.”"
"Duon mgo talag-anad to Balaod woy ka mgo Parisiu no kagi to goinawa ran to, “Hontow otawa soini no ogboboot do duon? Nigsumpalitan din ka Magboboot su hontow naan ka ogpakapasaylu to salo? Ka Magboboot do ka ogpakapasaylu to salo,” kagi to soin no mgo talag-anad.","The Pharisees and the teachers of the law began thinking to themselves, “Who is this fellow who speaks blasphemy? Who can forgive sins but God alone?”"
"Pogkataga ni Hisus to kagi dut goinawa to sika mgo talag-anad woy ka mgo Parisiu, pig-inso din sikandan to, “Manio to ogtawad ka goinawa now?","Jesus knew what they were thinking and asked, “Why are you thinking these things in your hearts?"
"Hondoi ka malomu, ko ogkagian ku ro ka nigkolog so lawa to, ‘Napasaylu on ka salo nu’ woy ko ogkagian ku pad sikandin to, ‘Onow kad on no hipanow kad on.’ ”","Which is easier: to say, ‘Your sins are forgiven,’ or to say, ‘Get up and walk’?"
"Nò, “Koddi ka Kakoy to mgo Koot-otawan kai to kalibutan no igpakita ku kaniu to duon ian katondanan ku to ogpasaylu to salo to mgo otow.” Nò, nigkagian din ka sika nigkolog to, “Usi, onow kad on, paragas kad on ogsasindog no puruta nu ka hibatanan nu no uli kad on.”","But I want you to know that the Son of Man has authority on earth to forgive sins.” So he said to the paralyzed man, “I tell you, get up, take your mat and go home.”"
"Nò, nig-onow on woy nigparagas nigsasindog ka sikan no kono oggoram to lawa rin duon to tangkaan to sikan no mohon-ing no mgo otow. Nò, nigpurut din on ka hibatanan din woy nig-uli on sikandin. No duon to poghipanow rin nokouwang din on ka pogsayo din to Magboboot.","Immediately he stood up in front of them, took what he had been lying on and went home praising God."
"Noinuinu on ka tibo no mgo otow woy lagkos no nahallok ka goinawa ran no nigsayo dan ka Magboboot, no kagi ran to, “Ka nigkita ta kuntoon, inko-inu-inu ta lagboy.”","Everyone was amazed and gave praise to God. They were filled with awe and said, “We have seen remarkable things today.”"
"Pogkaponga, nighipanow on si Hisus dio to kabayaan din no nigkita rin ka sagboka no otow no talagkubla to buhis. Ka ngaran din no si Libi. Dio nigpinnuu to upisina rin to bayaranan to mgo otow to buhis dan. Kagi ni Hisus ki Libi to, “Duma ka koddi; ogsakupon ku sikoykow.”","After this, Jesus went out and saw a tax collector by the name of Levi sitting at his tax booth. “Follow me,” Jesus said to him"
"Nò, nigsasindog on si Libi no nigduma on kandin. Pigbalagad din on ka mgo papil no niggalat din do duon ka tibo.","and Levi got up, left everything and followed him."
"Nò, nighimu si Libi to dakol no pagkoonan dio to baloy rin oyow woy ki Hisus. Mohon-ing ka mgo talagkubla to buhis no nig-amut to pagkoonan, woy duon dod duma no mgo otow no nig-amut no nigkoon.","Then Levi held a great banquet for Jesus at his house, and a large crowd of tax collectors and others were eating with them."
"Nigbayo dio ka duma no mgo Parisiu woy ka duma no talag-anad to Balaod. Nigmugongmugong sikandan no inso dan to mgo hibatoon ni Hisus to, “Manio to og-amut kow no ogkoon woy og-inum to mgo makasasalo woy ka mgo talagkubla to buhis?”","But the Pharisees and the teachers of the law who belonged to their sect complained to his disciples, ""Why do you eat and drink with tax collectors and 'sinners'?"""
"Si Hisus ka nigtabak kandan to pananglitan din to, “Ka otow no waro dalu, kono din og-awos ka talagtambal. Ka otow no duon dalu, sikandin ian ka og-awos to talagtambal.”","Jesus answered them, ""It is not the healthy who need a doctor, but the sick."
"Kagi ni Hisus, “Wara a moghondini to ogbulig to mgo otow no matuwarong ko kono ian ku ogbuligan ka mgo makasasalo oyow ogbalbalawan dan ka mgo batasan dan.”","I have not come to call the righteous, but sinners to repentance."""
"Duon ka mgo otow dio no kagi ran ki Hisus to, “Ka batasan to mgo hibatoon ni Huan ko ogtuud to og-ampu to Magboboot, malasi oglangkad ogkoon. Songo ogkounawa rod ka batasan to mgo Parisiu. Di ka koykow no mgo hibatoon, ogkoon atag woy og-inum dod.”","They said to him, ""John's disciples often fast and pray, and so do the disciples of the Pharisees, but yours go on eating and drinking."""
"Nigtabak si Hisus to pananglitan. Nig-inso din, “Litos to goinawa now to kono ogkoon ka mgo pigtugunan to pagkoonan to kasal? Ka ku kow! Ko duon pad ka lukos no ogpangasawa kono ogkaayun no oglangkad ki ogkoon.","Jesus answered, ""Can you make the guests of the bridegroom fast while he is with them?"
"Di duon allow no ogdakopon on ka lukos no ogpangasawa no warad sikandin dio to kandan, sikan ian ka allow no oglangkad to ogkoon sikandan.”","But the time will come when the bridegroom will be taken from them; in those days they will fast."""
"Duon dangob no pananglitan ni Hisus. Kagi ni Hisus, “Kono tad ogtabason ka iam no kinabo oyow igtupak to tahan no kinabo. Ko oghimuon ta ka soini ogkaraat ka iam no kinabo woy ka igtupak no iam kono no unawa to tahan no kinabo.”","He told them this parable: ""No one tears a patch from a new garment and sews it on an old one. If he does, he will have torn the new garment, and the patch from the new will not match the old."
"Duon dangob no pananglitan ni Hisus. Kagi rin to, “Ka iam no inumanon, kono ta igtagu dio to tahan no taguanan no nohimu to laplap to ayam su ko ogtulin on ka inumanon, ogbotu ka sikan no tahan no taguanan no ogkaraat ka inumanon woy songo ogkaraat ka taguanan.","And no one pours new wine into old wineskins. If he does, the new wine will burst the skins, the wine will run out and the wineskins will be ruined."
Ian do litos ko ian igtagu ta ka iam no inumanon dio to songo iam no taguanan su ogkalanat pad ka sikan no nohimu to iam no laplap to ayam.,"No, new wine must be poured into new wineskins."
"Di,” kagi ni Hisus, “ka mgo otow no natagam on to tahan no inumanon, konad ogkoiniat to iam no inumanon su kagi ran, ‘Maroyow ka tahan.’ ”","And no one after drinking old wine wants the new, for he says, 'The old is better.' """
"Songo allow no ian Allow to mgo Hudiu to Oghimoloy, nighipanow si Hisus woy ka mgo hibatoon din no nakabayo sikandan to kamot to tirigu. Pogbayo dan, nigpupu ka hibatoon ni Hisus to pila buwa no tagdoy to tirigu. Nigkusu ran ka lupogas oyow ogkaluitan woy nigkoon dan ka bogas no nakusu ran.","One Sabbath Jesus was going through the grainfields, and his disciples began to pick some heads of grain, rub them in their hands and eat the kernels."
"Di duon mgo Parisiu no nigkagi to, “Manio to ogpupu kow to Allow ta to Oghimoloy to duon Balaod ta to kono kid oghimu to soini ko Allow ta to Oghimoloy?”","Some of the Pharisees asked, “Why are you doing what is unlawful on the Sabbath?”"
"Kagi ni Hisus no nigtabak kandan to, “Og-inso a kaniu ko wa kow makabasa to kagi to Magboboot no ingkasulat dongan tongod ki Dabid no ian igbuyag ta dongan? Si Dabid woy ka mgo sakup din,","Jesus answered them, “Have you never read what David did when he and his companions were hungry?"
"nigsolod to baloy to Magboboot no nigkoon si Dabid to paan no intubad dio to Magboboot. Di ka kagi to Balaod ta, ka mgo talagpanubad do poron ka ogkoon, di nigkoon ni Dabid woy songo nigbogayan din ka mgo sakup din.”","He entered the house of God, and taking the consecrated bread, he ate what is lawful only for priests to eat. And he also gave some to his companions.”"
"Nigtimul si Hisus no ognangon to mgo Parisiu to, “Ka Kakoy to mgo Koot-otawan to soini no kalibutan ka ogboboot ko nokoy ka oghimuon to Allow ta to Oghimoloy.”","Then Jesus said to them, “The Son of Man is Lord of the Sabbath.”"
"Duon dangob no Allow to mgo Hudiu to Oghimoloy woy to og-ampu no nigsolod man do si Hisus to anaranan to mgo og-ampu no nig-anad si Hisus to mgo otow. No, dio to sikan no anaranan, duon otow no noumil so kawanan no bolad din.","On another Sabbath he went into the synagogue and was teaching, and a man was there whose right hand was shriveled."
Di duon ka mgo talag-anad to Balaod to mgo Hudiu no ian duma to mgo Parisiu no mambabantoy ki Hisus ko ogbawian din ka otow no noumil so bolad din to Allow ran to Oghimoloy oyow ogkitoon dan ko duon igkabayung dan ki Hisus tongod to Allow ran to Oghimoloy.,"The Pharisees and the teachers of the law were looking for a reason to accuse Jesus, so they watched him closely to see if he would heal on the Sabbath."
"Dokad di, nataga si Hisus to kagi dut goinawa ran no kagi ni Hisus dut noumil so bolad to, “Dii kad. Kai ka ro ogsasindog.” No nigsasindog on ka otow no noumil so bolad no nigdulug on ki Hisus.","But Jesus knew what they were thinking and said to the man with the shriveled hand, “Get up and stand in front of everyone.” So he got up and stood there."
"Kagi ni Hisus to mgo Parisiu, no ian duma ran ka mgo talag-anad to Balaod dan to, “Og-inso a kaniu ko nokoy no batasan ka ogkaayun to Balaod ta ko Allow ta to Oghimoloy? Nokoy ka oghimuon ta, ka maroyow woy ko maroot? Ogpangabangan ta buwa ka otow oyow ogkabuhi woy ko oghimatayan ta?” Sikan ka kagi ni Hisus.","Then Jesus said to them, “I ask you, which is lawful on the Sabbath: to do good or to do evil, to save life or to destroy it?”"
"Niglingi-lingi si Hisus no ogpitow to mgo otow no kagi rin kuwo to noumil to, “Kotonga nu ka bolad nu.” Inkotong din on no nabawian on.","He looked around at them all, and then said to the man, “Stretch out your hand.” He did so, and his hand was completely restored."
Di niglanglangotan on ian ka mgo talag-anad to Balaod dan woy ka mgo Parisiu su nigbawian ni Hisus ka noumil to Allow ran to Oghimoloy no nigmoin-insooy ko ogmonuon dan si Hisus.,But the Pharisees and the teachers of the law were furious and began to discuss with one another what they might do to Jesus.
"Wa do malugoy no nighondio si Hisus to bubungan su oyow og-ampu, no songo karusiloman ian ka pog-ampu din dio to Magboboot.","One of those days Jesus went out to a mountainside to pray, and spent the night praying to God."
"Pogkapawo on, niglimud ni Hisus ka mgo sakup din no ungod nigdumaruma kandin, no pig-alam din ka sampulu woy darua no pighingaranan din on to apostolis.","When morning came, he called his disciples to him and chose twelve of them, whom he also designated apostles:"
"Ka ngaran dan, si Simon no pigngaranan ni Hisus ki Pedro, woy si Andres no hari ni Pedro, si Santiago, si Huan, si Pilipi woy si Bartolomi.","Simon (whom he named Peter), his brother Andrew, James, John, Philip, Bartholomew,"
"Nig-alam pad ni Hisus si Matiu, si Tomas, woy si Santiago no ian anak ni Alpiu, woy ka dangob no si Simon no nighingaranan dan ka Siloti sikandin.","Matthew, Thomas, James son of Alphaeus, Simon who was called the Zealot,"
Pig-alam din pad si Hudas Iskarioti no ko ogkalugoy ian nigtabod ki Hisus.,"Judas son of James, and Judas Iscariot, who became a traitor."
"To nigtupang on woy si Hisus dio to napu duon mohon-ing no mgo otow no sakup din no nigluyudluyud kandin, woy mohon-ing dod lagboy ka mgo otow no nig-amut no nigpuun to tibo no mgo ugpaan to probinsia to Hudia woy dio to lunsud to Hirusalim woy ka mgo ugpaan no marani to ilis to dagat no marani to mgo lunsud to Tiru woy Sidon.","He went down with them and stood on a level place. A large crowd of his disciples was there and a great number of people from all over Judea, from Jerusalem, and from the coastal region around Tyre and Sidon,"
"Ka sikan no mgo otow, nanhondio ki Hisus oyow ogpamminog to nangnangonon din woy to oyow ogkabawian ka mgo dalu ran. Ka mgo otow no nigsoloran to mgo busow, songo mabawian on su nigdogil ni Hisus ka mgo busow to lawa ran.","who had come to hear him and to be healed of their diseases. Those troubled by impure spirits were cured,"
"No ka tibo no sikan no mohon-ing no mgo otow, nigpoomot kandan to ogsamsam ki Hisus su duon kabogbogan no ogligkat kandin no ogpakabawi to tibo no mgo otow ko ogpakasamsam kandin.","and the people all tried to touch him, because power was coming from him and healing them all."
"Nigpitow ni Hisus ka mgo hibatoon din no kagi rin kandan to, “Agad publi kow kuntoon, duon dod igkarago now su nasakup kow on to Pogsugu to Magboboot.","Looking at his disciples, he said: “Blessed are you who are poor, for yours is the kingdom of God."
"Agad oggutasan kow kuntoon, ogkapulusan kow su uromo ogkalantoy kow ro. Kaniu no ogpakasinogow kuntoon, ogkapulusan kow su uromo, ogpakangisi kow ro.","Blessed are you who hunger now, for you will be satisfied. Blessed are you who weep now, for you will laugh."
"No ko og-usigon kow to mgo otow, agad ko og-iniugan kow ran woy ko oglomotan kow nikandan woy ko oghingaranan kow to maroot no mgo otow su ligkat to nigtuu kow koddi no ian Kakoy to mgo Koot-otawan kai to kalibutan, ogkapulusan kow rod uromo.","Blessed are you when people hate you, when they exclude you and insult you and reject your name as evil, because of the Son of Man."
"Agad pad so duon ka sikan no igkoirapi, nasi no igkarago now, woy sayowsayow kow to dakol ian ka igdasag kaniu no noindanan kaniu dio to Langit su ka oghimuon to mgo otow kaniu. Songo unawa ka batasan to kandan no mgo apu to mgo talagnangon to kagi to Magboboot.”","“Rejoice in that day and leap for joy, because great is your reward in heaven. For that is how their ancestors treated the prophets."
"Kagi ni Hisus to mgo otow no waro nigtuu, “Agad datu kow kuntoon, ogkohoy-uan sikaniu to igkaratu now su napulusan kow to pog-ugpo now kai to tano; waro duma kaniu uromo.","“But woe to you who are rich, for you have already received your comfort."
"Sikaniu no nalantoy on kuntoon, mohirap kaniu uromo su oggutasan kow. Ogkohoy-uan sikaniu no ogpakangisi kuntoon, su mohirap kaniu uromo su ogpakasinogow kow woy ogmandawit kow.","Woe to you who are well fed now, for you will go hungry. Woe to you who laugh now, for you will mourn and weep."
"Ogkohoy-uan sikaniu no ungod kow ogsayaa to mgo otow kuntoon, su kounawa ian ka pighimu to mgo apu ta dongan no ungod dan sayaa ka ubaton no talagnangon to kagi to Magboboot.”","Woe to you when everyone speaks well of you, for that is how their ancestors treated the false prophets."
"Nigparagas si Hisus to kagi rin to, “Soini ka ignangon ku kaniu no ogpamminog koddi. Dakola now ka goinawa now to mgo usig now. Buligi now ka mgo otow no ogpangusig kaniu.","“But to you who are listening I say: Love your enemies, do good to those who hate you,"
"Pakohoy-ui now to Magboboot ka mgo otow no ogmaroot kaniu, woy ampui now ka mgo otow no ogbayadbayad kaniu.”","bless those who curse you, pray for those who mistreat you."
"“Ko duon otow no ogtagpi to apongag nu, lingi ka woy songo ipatagpi nu ka limang no apongag nu. Woy ko duon otow no og-agow to pundung nu, ibogoy nu woy iglagkos nu ka akob.","If someone slaps you on one cheek, turn to them the other also. If someone takes your coat, do not withhold your shirt from them."
"Bogayi nu ka agad hontow no ogbuyu to kalaglagan nu, no ko duon otow no ogpuruton din ka duma no kalaglagan nu, kono ka ogkagi to, ‘Iuli nu ro.’","Give to everyone who asks you, and if anyone takes what belongs to you, do not demand it back."
"Ka koiniatan ta no batasan, sikan dod ian ka batasan no litos no oghimuon ta to songo otow woy to duma ta.”",Do to others as you would have them do to you.
"“Ko duon goinawa nu to mgo otow no songo duon goinawa ran koykow, manio to ogsayoon kow porom to Magboboot? Agad ka mgo makasasalo, songo duon man goinawa ran to mgo otow no songo duon goinawa ran kandan.","“If you love those who love you, what credit is that to you? Even sinners love those who love them."
"Woy ko ian now ro ogbuligan ka otow no songo ogbulig kaniu, manio to ogsayoon kow pad to Magboboot? Kono kow ogsayoon su ka mgo makasasalo, songo ogbulig dod to otow no songo ogbulig kandan,” kagi ni Hisus.","And if you do good to those who are good to you, what credit is that to you? Even sinners do that."
"“No ko ian now ro pasambayan ka otow no og-imanan now to ogpakaliwan kaniu ka igsokod to imbogoy now, waro pad igkasayo to Magboboot kaniu su agad mgo otow no waro mogtuu kandin, songo ogpasamboy rod ko songo og-imanan to unawa ka igliwan dan.”","And if you lend to those from whom you expect repayment, what credit is that to you? Even sinners lend to sinners, expecting to be repaid in full."
"Nigparagas si Hisus to, “Ka ignangon ku kaniu, dakoli nu so goinawa nu to mgo usig nu. Himua now ka maroyow kandan woy pasambaya now sikandan, no kono kow og-iman-iman to ogliwanan dan. Ko sikan ian ka batasan now, dakol ka igkasayo to Magboboot kaniu woy ogpokounawa kow to batasan now to batasan to Magboboot, su songo ogkohoy-uan din ka mgo otow no kono ogpasalamat kandin, woy ogbuligan din dod ka mgo otow no maroot so batasan dan.","But love your enemies, do good to them, and lend to them without expecting to get anything back. Then your reward will be great, and you will be children of the Most High, because he is kind to the ungrateful and wicked."
Unawaa now ka batasan now to batasan to Amoy now dio to Langit no ogkohoy-u to mgo otow. Songo kohoy-ui now ka agad hondoi no otow.”,"Be merciful, just as your Father is merciful."
"“Kono now ogbobootan ka mgo duma now oyow songo kono ka ogbobootan to Magboboot. Ko kow ogkagi to, ‘Maroyow ko oglogparan ka,’ su oyow kono kow songo ogkalogparan,” kagi ni Hisus. “Pasaylua now ro ka sikan no mgo otow no ogpakasalo kaniu oyow songo ogpasayluon kow to Magboboot ko nokoy ka kaniu no salo.”","“Do not judge, and you will not be judged. Do not condemn, and you will not be condemned. Forgive, and you will be forgiven."
"“Bogayi now ka mgo otow to og-awoson dan no songo ogbogayan kow to Magboboot. Di ka igbogoy rin kaniu, kono din do igpo-unawa to imbogoy now. Ko nokoy ka insokod now to igbogoy now to songo otow, ogpasublaan din pad ka igbogoy rin kaniu. Ogkounawa pananglitan, ko duon homoy no igtagu to liang, ogkaguon din pad woy ogdasokon din woy ogpasublaan din. Di ko malintok atag ka igbogoy now to duma now, songo malintok ka igbogoy to Magboboot kaniu,” kagi ni Hisus.","Give, and it will be given to you. A good measure, pressed down, shaken together and running over, will be poured into your lap. For with the measure you use, it will be measured to you.”"
"Duon dangob no pananglitan ni Hisus no innangon din to mgo otow. Kagi rin, “Og-inso a kaniu ko litos ko ogpakitkitooy ka olin nabutud? Kono su sikandan no darua, ogkoulug dio to kanal.",He also told them this parable: “Can the blind lead the blind? Will they not both fall into a pit?
"Waro og-iskuila no labow to maistru rin. Di ka og-iskuila no ogpaanad, ko ogkapongaan din on ka og-anaran din to tibo no natagaan to maistru rin, ogpokounawa sikandin to maistru rin.”","The student is not above the teacher, but everyone who is fully trained will be like their teacher."
"Duon dangob no impananglitan ni Hisus. Kagi rin, “Manio sikoykow no ogsagmanon nu ka malintok do bag no igkabuog dio to mata to duma nu di waro ka nigsagman to duon nakabalabag no batang dio to koykow no mata?",“Why do you look at the speck of sawdust in your brother’s eye and pay no attention to the plank in your own eye?
"Kono ian ogkaayun ko ogkagi ki to duma ta to, ‘Sulod, dii ka pa su ogkuiton ku pad ka inkabuog to mata nu,’ dokad di to duon batang dio to koykow no mata no kono nu ogkitoon.” Kagi ni Hisus, “Koykow no otow no kono ogpakasokod ka batasan nu to ogkagion nu, woy nu ro awaa ka malintok no inkabuog dio to mata to duma nu ko og-awoon nu pa ka batang duon to koykow no mata. Nò, ogkamolmologan nud on to ogpitawon nu oyow ogkaayun nu ogkuit to malintok no igkabuog duon to mata to duma nu,” kagi ni Hisus.","How can you say to your brother, ‘Brother, let me take the speck out of your eye,’ when you yourself fail to see the plank in your own eye? You hypocrite, first take the plank out of your eye, and then you will see clearly to remove the speck from your brother’s eye."
"Duon dangob no pananglitan ni Hisus no kagi rin to, “Ka maroyow no kayu, kono ogbogas to maroot woy ka maroot no kayu, kono ogbogas to maroyow.","“No good tree bears bad fruit, nor does a bad tree bear good fruit."
"Agad hondoi no kayu, ogkatagaan tad su ogkitoon ta ka bogas din. Pananglitan, ka bogas no ogkakoon ta no oghingaranan no igira, kono ta man ogkapupu dio to banag su kono man no lawa rin. Ka bogas no ubas no songo ogkakoon, songo kono tad ogkapupu dio to sapinit.","Each tree is recognized by its own fruit. People do not pick figs from thornbushes, or grapes from briers."
"Ogkounawa ka mgo otow,” kagi ni Hisus, “ka maroyow no otow, maroyow ka oghimuon din su ogpuun to maroyow no nakatagu dio to goinawa rin, di ka maroot no otow, songo maroot ka oghimuon din su ogpuun to maroot no nakatagu to goinawa rin. Malogot soini su agad nokoy ka nakatagu to goinawa ta, ian ka ogpakalibuwas to bo-bo ta.”","A good man brings good things out of the good stored up in his heart, and an evil man brings evil things out of the evil stored up in his heart. For the mouth speaks what the heart is full of."
"Kagi ni Hisus to, “Manio to ungoron a now oghingarani to Buyag, di kono kow man ogpaagad-agad to igkagi ku kaniu?","“Why do you call me, ‘Lord, Lord,’ and do not do what I say?"
"Ka otow, agad hontow, no ogpamminog koddi woy ogtuman to kagi ku, ian ku ogpounawaan ka otow no nighimu to baloy no nig-ay-ayaran din to nigpos-ok su nigkali rin pad ka tano oyow dio din ig-untud to batu no nakalobong dio to tano. No, noumaan on ka sikan no baloy rin to woig no niglanog to dakol woy malogos no dakol ka luwak di waro moomonu ka baloy rin su makogal ka pog-unturanan din,” kagi ni Hisus.","As for everyone who comes to me and hears my words and puts them into practice, I will show you what they are like.  They are like a man building a house, who dug down deep and laid the foundation on rock. When a flood came, the torrent struck that house but could not shake it, because it was well built."
"“Di ka otow no ogdinog to kagi ku di kono ogtuman, sikan ian ka ogkounawa to otow no malopot so pogdoromdom din no nighimu to baloy, di impos-ok din do duon no waro pigpounturan din. To noumaan on to lanog no dakol woy malogos no dakol ka luwak, napolod ka baloy woy nagugus on. Naraat ka sikan no baloy.” Ian ka kagi ni Hisus.","But the one who hears my words and does not put them into practice is like a man who built a house on the ground without a foundation. The moment the torrent struck that house, it collapsed and its destruction was complete.”"
"Pogkaponga ni Hisus ka tibo no in-anad din to mgo otow, nighondio sikandin to lunsud to Kapirnaum.","When Jesus had finished saying all this to the people who were listening, he entered Capernaum."
"No duon dio to Kapirnaum ka songo taga Ruma no kapitan to songo puntuk no sundalu, no duon suguonon din no nannugunan din lagboy. Di nigdaralu ka sikan no suguonon no magaan on poron ogkamatoy.","There a centurion’s servant, whom his master valued highly, was sick and about to die."
"To nigdinog on ka kapitan to duon si Hisus, nigsugu din ka mgo igbuyag to mgo Hudiu to oyow oghondio ki Hisus no igtugun dan si Hisus to ogpohondini on to kandin su oyow ogkabawian din on ka suguonon din.","The centurion heard of Jesus and sent some elders of the Jews to him, asking him to come and heal his servant."
"To nokouma ka mgo Hudiu dio ki Hisus, nigpohoy-uhoy-u kandan no kagi ran, “Maroyow lagboy ka sikan no kapitan no nigsugu kanami.","When they came to Jesus, they pleaded earnestly with him, “This man deserves to have you do this,"
"Dakol ka goinawa rin kanta no mgo taga Hudia woy sikandin ka nigbayad to ogpohimu to kanami no anaranan to mgo og-ampu,” kagi to mgo tahuronon to mgo Hudiu.",because he loves our nation and has built our synagogue.”
"Sikan ian to nigduma si Hisus kandan. To marani on to baloy to kapitan, duon mgo karumaan to sikan no kapitan no pinatagbu rin ki Hisus no kagi ran kandin to, “Buyag,” kagi to kapitan, “balagad ko kono kad ogparagas dio to baloy ku su ogkasipod a to kono a ogpakasokod koykow Hisus, su molintok do ka koddi no katondanan.","So Jesus went with them. He was not far from the house when the centurion sent friends to say to him: “Lord, don’t trouble yourself, for I do not deserve to have you come under my roof."
Sikan ian to waro a mogtagbu koykow. Agad ko ogkagi ka ro no ogkabawian on ka suguonon ku.,"That is why I did not even consider myself worthy to come to you. But say the word, and my servant will be healed."
"Nataga a to soini tongod to duon koddi no mgo igbuyag no ogtumanon ku ka igsugu dan. Songo unawa ro koddi su songo duon katondanan ku to mgo sundalu ku. Ogsuguon ku ka sagboka to, ‘Hondio ka,’ nò, oghondio sikandin; ogsuguon ku ka duma to ‘Hondini ka,’ nò, oghondini sikandin. Woy ognangonan ku ka suguonon ku to, ‘Himua nu soini,’ nò, oghimuon din on.”","For I myself am a man under authority, with soldiers under me. I tell this one, ‘Go,’ and he goes; and that one, ‘Come,’ and he comes. I say to my servant, ‘Do this,’ and he does it.”"
"Pogdinog ni Hisus to kagi to mgo otow no nigligkat to kapitan, nabolongbolong sikandin. Nigbalikid si Hisus dio to mgo otow no mohon-ing no ogluyud kandin no kagi rin kandan to, “Malogot ka soini no ignangon ku kaniu. Waro ku kitaa ka pogtuu to agad hondoi no otow agad to mgo pinanganak ni Israil no ogpakasokod to pogtuu to sikan no kapitan,” kagi ni Hisus.","When Jesus heard this, he was amazed at him, and turning to the crowd following him, he said, “I tell you, I have not found such great faith even in Israel.”"
"To nig-uli on ka mgo otow no pinatagbu to kapitan ki Hisus no pogsolod dan to baloy rin, nigkita ran to nabawian on ka suguonon din.",Then the men who had been sent returned to the house and found the servant well.
"Waro malugoy no nighondio si Hisus to songo lunsud no nighingaranan dan to Nain. Ka mgo hibatoon ni Hisus, lagkos to mohon-ing no mgo otow ka nigduma.","Soon afterward, Jesus went to a town called Nain, and his disciples and a large crowd went along with him."
"Pogkarani ran on to gumawan to lunsud, natagbu ran ka mgo otow no niglolong to namatoy. Ka lukos no namatoy, bugtung no anak to sagboka no nabalu no boi. Mohon-ing ka mgo otow no nigligkat to lunsud no nigduma to inoy to namatoy.","As he approached the town gate, a dead person was being carried out—the only son of his mother, and she was a widow. And a large crowd from the town was with her."
"Agad si Hisus, pogkita rin to inoy dut namatoy, nohoy-uan din sikandin. Kagi ni Hisus kandin to, “Ko kad on ogsinogow,”","When the Lord saw her, his heart went out to her and he said, “Don’t cry.”"
"no nigdulug si Hisus to namatoy no niggongonan din ka nigpohibatan to namatoy. Nò, nigsagdok on ka mgo lukos no oglolong dut namatoy. Kagi ni Hisus dut namatoy to, “Utu, ogkagian ku sikoykow to onow kad on.”","Then he went up and touched the bier they were carrying him on, and the bearers stood still. He said, “Young man, I say to you, get up!”"
"Nò man, nouli ka goinawa rin no nigpinpinnuu on woy nigkagi on. No nigduma ni Hisus ka lukos dio to inoy rin.","The dead man sat up and began to talk, and Jesus gave him back to his mother."
"No ka tibo no mgo otow no nakakita, dakol ian ka ingkoinuinu ran no nigsayo dan on ka Magboboot to kagi ran to, “Duon nokouma kanta no mabogbog no talagnangon to kagi to Magboboot,” woy kagi ran dod to, “Nighondini ka Magboboot oyow ogpangabangan ki no mgo otow rin.”","They were all filled with awe and praised God. “A great prophet has appeared among us,” they said. “God has come to help his people.”"
"No ka sikan no nangnangonon ligkat to nighimu ni Hisus, naalap dio to tibo no mgo lunsud duon to sikan no ugpaan woy dio to tibo no mgo ugpaan no marani.",This news about Jesus spread throughout Judea and the surrounding country.
"Ka mgo hibatoon ni Huan no Talagbautismu, nigdinog to tibo soini no mgo hinimuan ni Hisus no dio dan nangoni si Huan to pirisuan.","John’s disciples told him about all these things. Calling two of them,"
"Nò, nigpoumow ni Huan ka darua no hibatoon din, no pogkouma ran, nigpohondio din on to ki Hisus oyow og-insaan dan sikandin to, “Sikoykow buwa ka Igbuyag no innangon ni Huan to ogpohondini on to Magboboot to kanami woy ko duon pad loin no otow no ogtagaran noy?”","he sent them to the Lord to ask, “Are you the one who is to come, or should we expect someone else?”"
